case,trial,detected,message_count,messages
thay_doi_ban_ma,1,1,2,"Giá trị băm gói mã hóa của hồ sơ 867d508a-8f97-4dc6-852c-0d6526eb7645, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 867d508a-8f97-4dc6-852c-0d6526eb7645, phiên bản 1: InvalidTag."
thay_doi_ban_ma,2,1,2,"Giá trị băm gói mã hóa của hồ sơ 3654c1b7-ad63-4048-995e-83deb1965181, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 3654c1b7-ad63-4048-995e-83deb1965181, phiên bản 1: InvalidTag."
thay_doi_ban_ma,3,1,2,"Giá trị băm gói mã hóa của hồ sơ a9eba37c-7622-4feb-93ec-117f9b33d923, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ a9eba37c-7622-4feb-93ec-117f9b33d923, phiên bản 1: InvalidTag."
thay_doi_ban_ma,4,1,2,"Giá trị băm gói mã hóa của hồ sơ 17c1f444-171f-4f3d-b21d-569173437a99, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 17c1f444-171f-4f3d-b21d-569173437a99, phiên bản 1: InvalidTag."
thay_doi_ban_ma,5,1,2,"Giá trị băm gói mã hóa của hồ sơ 077ee5ec-e161-4faa-b6a5-b01678fee8f1, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 077ee5ec-e161-4faa-b6a5-b01678fee8f1, phiên bản 1: InvalidTag."
thay_doi_ban_ma,6,1,2,"Giá trị băm gói mã hóa của hồ sơ 6e36ef1a-39c3-4271-a597-2e2b3db1e49b, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 6e36ef1a-39c3-4271-a597-2e2b3db1e49b, phiên bản 1: InvalidTag."
thay_doi_ban_ma,7,1,2,"Giá trị băm gói mã hóa của hồ sơ 48db7750-f681-48df-a4c9-3520a6912c5a, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 48db7750-f681-48df-a4c9-3520a6912c5a, phiên bản 1: InvalidTag."
thay_doi_ban_ma,8,1,2,"Giá trị băm gói mã hóa của hồ sơ 23f84f6d-8030-4757-8ba3-fb33a29f7568, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 23f84f6d-8030-4757-8ba3-fb33a29f7568, phiên bản 1: InvalidTag."
thay_doi_ban_ma,9,1,2,"Giá trị băm gói mã hóa của hồ sơ da517c93-01d0-4bd5-bac2-c3c5db20dc6f, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ da517c93-01d0-4bd5-bac2-c3c5db20dc6f, phiên bản 1: InvalidTag."
thay_doi_ban_ma,10,1,2,"Giá trị băm gói mã hóa của hồ sơ 281777b9-04c8-45cc-8bb7-aa30627bcb94, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 281777b9-04c8-45cc-8bb7-aa30627bcb94, phiên bản 1: InvalidTag."
thay_doi_ban_ma,11,1,2,"Giá trị băm gói mã hóa của hồ sơ c6f68ac2-2062-420f-bab0-803f685d7b39, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ c6f68ac2-2062-420f-bab0-803f685d7b39, phiên bản 1: InvalidTag."
thay_doi_ban_ma,12,1,2,"Giá trị băm gói mã hóa của hồ sơ e6fa736a-baa7-4ec7-9437-349280a3e552, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ e6fa736a-baa7-4ec7-9437-349280a3e552, phiên bản 1: InvalidTag."
thay_doi_ban_ma,13,1,2,"Giá trị băm gói mã hóa của hồ sơ 146ae4ba-aa0a-4c0f-9b1f-3d969f34e555, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 146ae4ba-aa0a-4c0f-9b1f-3d969f34e555, phiên bản 1: InvalidTag."
thay_doi_ban_ma,14,1,2,"Giá trị băm gói mã hóa của hồ sơ 14715df6-ac6f-4bee-9c52-9d9ec031d17c, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 14715df6-ac6f-4bee-9c52-9d9ec031d17c, phiên bản 1: InvalidTag."
thay_doi_ban_ma,15,1,2,"Giá trị băm gói mã hóa của hồ sơ 0803dec9-d01f-44b3-a048-bd0b6c53c3c4, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 0803dec9-d01f-44b3-a048-bd0b6c53c3c4, phiên bản 1: InvalidTag."
thay_doi_ban_ma,16,1,2,"Giá trị băm gói mã hóa của hồ sơ 624afcc5-a01e-4346-aae2-530e0e68e7dc, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 624afcc5-a01e-4346-aae2-530e0e68e7dc, phiên bản 1: InvalidTag."
thay_doi_ban_ma,17,1,2,"Giá trị băm gói mã hóa của hồ sơ 243918ce-ca7c-4ab5-ad7c-b5cb84b3bc55, phiên bản 1 không hợp lệ. | Gói mã hóa không hợp lệ, không xác thực hoặc giải mã được hồ sơ 243918ce-ca7c-4ab5-ad7c-b5cb84b3bc55, phiên bản 1: InvalidTag."
